ID_PERSONNEL,NOM_PERSONNEL,PRENOM_PERSONNEL,DT_NAISS,VILLE_NAISS,PAYS_NAISS,NUM_SECU,IND_PAYS_NUM_TELP,NUM_TELEPHONE,NUM_VOIE,DSC_VOIE,CMPL_VOIE,CD_POSTAL,VILLE,PAYS,FONCTION_PERSONNEL,TS_CREATION_PERSONNEL,TS_MAJ_PPERSONNEL
KeyPers_Berlin_1230000,Name0,FistName0,1993-11-04,Osaka,Japan,NS000000000,,+336##0263188,57,NomVoie940,,#8830,BERLIN,Germany,Dateningenieur,2010-09-09 11:22:17,2010-09-09 11:22:17
KeyPers_Berlin_1230001,Name1,FistName1,1932-11-22,Wellington,New Zealand,NS000000001,,+336##0401873,64,NomVoie711,,#9785,BERLIN,Germany,FÃ¼hrungskraft,2017-07-24 16:51:18,2017-07-24 16:51:18
KeyPers_Berlin_1230002,Name2,FistName2,1990-08-12,Sidney,Australia,NS000000002,,+336##0524126,94,NomVoie322,,#4816,BERLIN,Germany,Dateningenieur,1997-08-20 04:01:46,1997-08-20 04:01:46
KeyPers_Berlin_1230003,Name3,FistName3,1965-05-26,Rabat,Maroc,NS000000003,,+336##0418484,78,NomVoie593,,#3546,BERLIN,Germany,Ãkonom,1998-11-17 19:25:01,1998-11-17 19:25:01
KeyPers_Berlin_1230004,Name4,FistName4,1959-01-18,Shanghai,China,NS000000004,,+336##0986317,65,NomVoie404,,#6788,BERLIN,Germany,Dateningenieur,2010-11-10 04:24:37,2010-11-10 04:24:37
KeyPers_Berlin_1230005,Name5,FistName5,1985-10-08,DubaÃ¯,Emirats,NS000000005,,+336##0270257,36,NomVoie325,,#3254,BERLIN,Germany,FÃ¼hrungskraft,2009-07-21 13:37:06,2009-07-21 13:37:06
KeyPers_Berlin_1230006,Name6,FistName6,1953-04-13,Lille,France,,,+336##0771894,96,NomVoie126,,#5405,BERLIN,Germany,Ãkonom,2011-11-26 01:26:55,2011-11-26 01:26:55
KeyPers_Berlin_1230007,Name7,FistName7,1985-08-27,Lima,Peru,NS000000007,,+336##0123224,49,NomVoie437,,#1009,BERLIN,Germany,Dateningenieur,2002-08-22 14:36:59,2002-08-22 14:36:59
KeyPers_Berlin_1230008,Name8,FistName8,1980-07-25,Sao Paulo,Brazil,NS000000008,,+336##0101799,51,NomVoie278,,#6528,BERLIN,Germany,Dateningenieur,2019-07-14 03:57:59,2019-07-14 03:57:59
KeyPers_Berlin_1230009,Name9,FistName9,1997-06-27,Buenos Aires,Argentina,NS000000009,,+336##0135061,99,NomVoie199,,#8648,BERLIN,Germany,Dateningenieur,2010-05-15 05:54:01,2010-05-15 05:54:01
KeyPers_Berlin_1230010,Name10,FistName10,1941-03-13,Stockholm,SuÃ¨de,NS000000010,,+336##0055626,62,NomVoie9810,,#9237,BERLIN,Germany,Dateningenieur,2018-08-10 05:37:44,2018-08-10 05:37:44
KeyPers_Berlin_1230011,Name11,FistName11,2013-03-27,Pekin,China,NS000000011,,+336##0261116,81,NomVoie3011,,#8858,BERLIN,Germany,Dateningenieur,2005-05-10 18:55:04,2005-05-10 18:55:04
KeyPers_Berlin_1230012,Name12,FistName12,1986-01-14,Buenos Aires,Argentina,NS000000012,,+336##0439454,90,NomVoie9412,,#4715,BERLIN,Germany,Ãkonom,2021-11-26 08:48:48,2021-11-26 08:48:48
KeyPers_Berlin_1230013,Name13,FistName13,1989-11-23,Stockholm,SuÃ¨de,NS000000013,,+336##0789848,74,NomVoie113,,#0898,BERLIN,Germany,FÃ¼hrungskraft,2019-09-05 07:32:09,2019-09-05 07:32:09
KeyPers_Berlin_1230014,Name14,FistName14,1951-01-14,Montreal,Canada,NS000000014,,+336##0025841,81,NomVoie214,,#2514,BERLIN,Germany,Personalleiter,2022-06-21 14:27:30,2022-06-21 14:27:30
KeyPers_Berlin_1230015,Name15,FistName15,1978-01-20,Alger,Algeria,NS000000015,,+336##0422645,65,NomVoie4015,,#0795,BERLIN,Germany,Computeringenieur,2013-06-06 23:11:40,2013-06-06 23:11:40
KeyPers_Berlin_1230016,Name16,FistName16,2011-07-08,Sidney,Australia,NS000000016,,+336##0503358,38,NomVoie7916,,#4071,BERLIN,Germany,Dateningenieur,1997-04-15 18:13:26,1997-04-15 18:13:26
KeyPers_Berlin_1230017,Name17,FistName17,1970-06-11,Montreal,Canada,NS000000017,,+336##0215597,36,NomVoie7017,,#0493,BERLIN,Germany,Computeringenieur,2016-07-21 18:21:28,2016-07-21 18:21:28
KeyPers_Berlin_1230018,Name18,FistName18,1981-09-11,Tokyo,Japan,NS000000018,,+336##0968305,52,NomVoie4718,,#0434,BERLIN,Germany,Computeringenieur,2001-10-10 21:35:30,2001-10-10 21:35:30
KeyPers_Berlin_1230019,Name19,FistName19,1948-10-21,New-York,USA,NS000000019,,+336##0803658,34,NomVoie919,,#0204,BERLIN,Germany,Computeringenieur,2012-02-05 17:17:50,2012-02-05 17:17:50
KeyPers_Berlin_1230020,Name20,FistName20,1954-02-17,Alger,Algeria,NS000000020,,+336##0937565,31,NomVoie9220,,#0269,BERLIN,Germany,Computeringenieur,2020-05-11 11:19:13,2020-05-11 11:19:13
KeyPers_Berlin_1230021,Name21,FistName21,1992-11-17,Auckland,New Zealand,NS000000021,,+336##0429649,40,NomVoie4621,,#0973,BERLIN,Germany,FÃ¼hrungskraft,2003-03-02 01:02:38,2003-03-02 01:02:38
KeyPers_Berlin_1230022,Name22,FistName22,2017-05-01,Paris,France,NS000000022,,+336##0341273,46,NomVoie7422,,#9181,BERLIN,Germany,Dateningenieur,2023-01-25 17:18:53,2023-01-25 17:18:53
KeyPers_Berlin_1230023,Name23,FistName23,1939-03-10,Tunis,Tunisie,NS000000023,,+336##0872562,50,NomVoie023,,#4949,BERLIN,Germany,Dateningenieur,2017-01-15 04:58:55,2017-01-15 04:58:55
KeyPers_Berlin_1230024,Name24,FistName24,2004-07-17,Alger,Algeria,NS000000024,,+336##0011171,4,NomVoie1524,,#3042,BERLIN,Germany,Computeringenieur,2002-10-25 01:08:19,2002-10-25 01:08:19
KeyPers_Berlin_1230025,Name25,FistName25,2007-07-17,Sidney,Australia,NS000000025,,+336##0887246,85,NomVoie9925,,#7068,BERLIN,Germany,Ãkonom,2020-07-23 06:09:56,2020-07-23 06:09:56
KeyPers_Berlin_1230026,Name26,FistName26,1937-06-19,London,England,NS000000026,,+336##0724403,9,NomVoie5326,,#6318,BERLIN,Germany,Computeringenieur,1997-06-16 13:11:45,1997-06-16 13:11:45
KeyPers_Berlin_1230027,Name27,FistName27,1998-01-06,Lille,France,NS000000027,,+336##0615826,85,NomVoie1827,,#0321,BERLIN,Germany,Computeringenieur,2021-08-07 09:10:27,2021-08-07 09:10:27
KeyPers_Berlin_1230028,Name28,FistName28,2017-01-16,Marseille,France,NS000000028,,+336##0124774,34,NomVoie5328,,#4908,BERLIN,Germany,Personalleiter,2008-02-04 09:38:21,2008-02-04 09:38:21
KeyPers_Berlin_1230029,Name29,FistName29,1996-03-24,Lima,Peru,NS000000029,,+336##0451301,64,NomVoie829,,#4870,BERLIN,Germany,Dateningenieur,1998-02-11 14:35:14,1998-02-11 14:35:14
KeyPers_Berlin_1230030,Name30,FistName30,2016-02-11,London,England,NS000000030,,+336##0491538,5,NomVoie1230,,#5070,BERLIN,Germany,Dateningenieur,2002-04-26 14:07:08,2002-04-26 14:07:08
KeyPers_Berlin_1230031,Name31,FistName31,1935-11-01,Buenos Aires,Argentina,NS000000031,,+336##0880342,50,NomVoie3731,,#7849,BERLIN,Germany,FÃ¼hrungskraft,2014-06-21 11:51:22,2014-06-21 11:51:22
KeyPers_Berlin_1230032,Name32,FistName32,1967-04-16,Auckland,New Zealand,NS000000032,,+336##0218267,63,NomVoie3532,,#4748,BERLIN,Germany,Dateningenieur,2004-01-27 15:09:48,2004-01-27 15:09:48
KeyPers_Berlin_1230033,Name33,FistName33,1938-11-23,CompiÃ¨gne,France,NS000000033,,+336##0985927,71,NomVoie3233,,#4906,BERLIN,Germany,FÃ¼hrungskraft,2009-08-19 07:09:23,2009-08-19 07:09:23
KeyPers_Berlin_1230034,Name34,FistName34,2001-09-01,Wellington,New Zealand,NS000000034,,+336##0409604,51,NomVoie5734,,#2053,BERLIN,Germany,FÃ¼hrungskraft,2011-02-04 23:25:05,2011-02-04 23:25:05
KeyPers_Berlin_1230035,Name35,FistName35,1957-08-22,Buenos Aires,Argentina,NS000000035,,+336##0143024,54,NomVoie9435,,#3848,BERLIN,Germany,Dateningenieur,2007-06-27 01:40:25,2007-06-27 01:40:25
KeyPers_Berlin_1230036,Name36,FistName36,1996-04-11,Buenos Aires,Argentina,NS000000036,,+336##0630688,21,NomVoie4736,,#7447,BERLIN,Germany,Computeringenieur,2000-08-16 06:36:02,2000-08-16 06:36:02
KeyPers_Berlin_1230037,Name37,FistName37,1994-04-14,Vancouver,Canada,NS000000037,,+336##0005615,53,NomVoie7737,,#3139,BERLIN,Germany,FÃ¼hrungskraft,2008-03-12 11:26:19,2008-03-12 11:26:19
KeyPers_Berlin_1230038,Name38,FistName38,1941-10-01,Marseille,France,NS000000038,,+336##0285125,87,NomVoie1238,,#7553,BERLIN,Germany,Computeringenieur,2013-10-15 06:58:49,2013-10-15 06:58:49
KeyPers_Berlin_1230039,Name39,FistName39,1946-03-20,Lille,France,NS000000039,,+336##0388989,83,NomVoie4939,,#1725,BERLIN,Germany,FÃ¼hrungskraft,1997-01-10 10:50:55,1997-01-10 10:50:55
KeyPers_Berlin_1230040,Name40,FistName40,2015-11-15,Tokyo,Japan,NS000000040,,+336##0192796,6,NomVoie4040,,#0056,BERLIN,Germany,Computeringenieur,1997-10-18 17:55:37,1997-10-18 17:55:37
KeyPers_Berlin_1230041,Name41,FistName41,1943-06-20,London,England,NS000000041,,+336##0063588,87,NomVoie941,,#4854,BERLIN,Germany,Computeringenieur,1999-10-03 01:41:03,1999-10-03 01:41:03
KeyPers_Berlin_1230042,Name42,FistName42,1982-08-04,Rio de Janeiro,Brazil,NS000000042,,+336##0329208,97,NomVoie8442,,#3486,BERLIN,Germany,FÃ¼hrungskraft,2005-06-11 15:25:05,2005-06-11 15:25:05
KeyPers_Berlin_1230043,Name43,FistName43,1954-02-10,Melbourne,Australia,NS000000043,,+336##0310730,44,NomVoie9143,,#0641,BERLIN,Germany,Dateningenieur,2016-02-17 19:27:31,2016-02-17 19:27:31
KeyPers_Berlin_1230044,Name44,FistName44,2001-03-03,Osaka,Japan,NS000000044,,+336##0456940,52,NomVoie9544,,#7210,BERLIN,Germany,FÃ¼hrungskraft,2008-06-06 14:39:05,2008-06-06 14:39:05
KeyPers_Berlin_1230045,Name45,FistName45,1954-05-19,Tokyo,Japan,NS000000045,,+336##0240426,31,NomVoie8045,,#5927,BERLIN,Germany,Dateningenieur,2006-08-22 19:56:55,2006-08-22 19:56:55
KeyPers_Berlin_1230046,Name46,FistName46,2000-08-04,Paris,France,NS000000046,,+336##0301437,71,NomVoie3246,,#9815,BERLIN,Germany,Dateningenieur,1998-02-07 13:27:26,1998-02-07 13:27:26
KeyPers_Berlin_1230047,Name47,FistName47,1945-04-27,Wellington,New Zealand,NS000000047,,+336##0924960,39,NomVoie1547,,#7587,BERLIN,Germany,FÃ¼hrungskraft,2015-08-09 21:31:58,2015-08-09 21:31:58
KeyPers_Berlin_1230048,Name48,FistName48,1964-02-03,Buenos Aires,Argentina,NS000000048,,+336##0936842,38,NomVoie048,,#1664,BERLIN,Germany,Computeringenieur,1997-06-06 04:35:19,1997-06-06 04:35:19
KeyPers_Berlin_1230049,Name49,FistName49,2002-09-19,Los Angeles,USA,NS000000049,,+336##0288959,56,NomVoie1449,,#3758,BERLIN,Germany,Dateningenieur,2007-07-26 10:01:28,2007-07-26 10:01:28
KeyPers_Berlin_1230050,Name50,FistName50,1968-01-17,Bordeaux,France,NS000000050,,+336##0896254,1,NomVoie6850,,#9425,BERLIN,Germany,Dateningenieur,2000-03-07 21:19:48,2000-03-07 21:19:48
KeyPers_Berlin_1230051,Name51,FistName51,1981-03-08,London,England,NS000000051,,+336##0537119,1,NomVoie4851,,#3325,BERLIN,Germany,Computeringenieur,2019-05-10 08:09:24,2019-05-10 08:09:24
KeyPers_Berlin_1230052,Name52,FistName52,1942-05-05,Shanghai,China,NS000000052,,+336##0342295,42,NomVoie4152,,#9080,BERLIN,Germany,Dateningenieur,2000-04-17 19:28:01,2000-04-17 19:28:01
KeyPers_Berlin_1230053,Name53,FistName53,1973-08-04,Stockholm,SuÃ¨de,NS000000053,,+336##0036749,17,NomVoie7653,,#3812,BERLIN,Germany,FÃ¼hrungskraft,2013-08-11 23:53:33,2013-08-11 23:53:33
KeyPers_Berlin_1230054,Name54,FistName54,2010-06-06,Bogota,Colombia,NS000000054,,+336##0127857,44,NomVoie6654,,#9669,BERLIN,Germany,Computeringenieur,2015-10-02 14:52:23,2015-10-02 14:52:23
KeyPers_Berlin_1230055,Name55,FistName55,1961-06-11,Lille,France,,,+336##0596100,75,NomVoie7455,,#9941,BERLIN,Germany,Dateningenieur,2019-09-13 17:02:14,2019-09-13 17:02:14
KeyPers_Berlin_1230056,Name56,FistName56,1956-04-13,Shanghai,China,NS000000056,,+336##0526144,18,NomVoie6256,,#5331,BERLIN,Germany,Computeringenieur,2001-01-09 01:16:32,2001-01-09 01:16:32
KeyPers_Berlin_1230057,Name57,FistName57,1988-11-21,Pekin,China,NS000000057,,+336##0577425,13,NomVoie9957,,#7505,BERLIN,Germany,Dateningenieur,1997-10-17 13:24:26,1997-10-17 13:24:26
KeyPers_Berlin_1230058,Name58,FistName58,1960-07-11,Wellington,New Zealand,NS000000058,,+336##0070719,81,NomVoie7158,,#5009,BERLIN,Germany,Dateningenieur,1998-11-25 15:17:04,1998-11-25 15:17:04
KeyPers_Berlin_1230059,Name59,FistName59,2014-02-04,Osaka,Japan,NS000000059,,+336##0211026,51,NomVoie3059,,#2748,BERLIN,Germany,Dateningenieur,1999-07-06 14:58:12,1999-07-06 14:58:12
KeyPers_Berlin_1230060,Name60,FistName60,2010-04-23,Pekin,China,NS000000060,,+336##0765240,72,NomVoie4560,,#2498,BERLIN,Germany,Dateningenieur,2017-04-20 19:25:08,2017-04-20 19:25:08
KeyPers_Berlin_1230061,Name61,FistName61,2010-07-09,Tokyo,Japan,NS000000061,,+336##0051196,18,NomVoie8861,,#0303,BERLIN,Germany,Computeringenieur,2007-03-20 03:13:21,2007-03-20 03:13:21
KeyPers_Berlin_1230062,Name62,FistName62,2004-04-16,Rabat,Maroc,NS000000062,,+336##0163737,22,NomVoie3662,,#4547,BERLIN,Germany,Dateningenieur,2018-07-12 05:17:39,2018-07-12 05:17:39
KeyPers_Berlin_1230063,Name63,FistName63,1937-08-11,Marseille,France,NS000000063,,+336##0016477,93,NomVoie8363,,#2900,BERLIN,Germany,Dateningenieur,1999-04-18 01:41:42,1999-04-18 01:41:42
KeyPers_Berlin_1230064,Name64,FistName64,1932-10-01,Rabat,Maroc,NS000000064,,+336##0617167,3,NomVoie8664,,#5065,BERLIN,Germany,Computeringenieur,2011-02-16 21:39:47,2011-02-16 21:39:47
KeyPers_Berlin_1230065,Name65,FistName65,1949-01-02,CompiÃ¨gne,France,NS000000065,,+336##0506416,68,NomVoie1265,,#6373,BERLIN,Germany,Computeringenieur,2006-06-04 08:27:32,2006-06-04 08:27:32
KeyPers_Berlin_1230066,Name66,FistName66,1997-04-13,Shanghai,China,NS000000066,,+336##0868512,43,NomVoie9966,,#8962,BERLIN,Germany,Computeringenieur,2020-03-22 02:50:57,2020-03-22 02:50:57
KeyPers_Berlin_1230067,Name67,FistName67,1965-07-11,DubaÃ¯,Emirats,NS000000067,,+336##0363799,30,NomVoie7367,,#5984,BERLIN,Germany,FÃ¼hrungskraft,2022-05-27 14:14:41,2022-05-27 14:14:41
KeyPers_Berlin_1230068,Name68,FistName68,1955-06-27,Sidney,Australia,NS000000068,,+336##0318130,86,NomVoie5368,,#5231,BERLIN,Germany,Dateningenieur,2021-04-26 23:54:46,2021-04-26 23:54:46
KeyPers_Berlin_1230069,Name69,FistName69,2002-05-26,Berlin,Allemagne,NS000000069,,+336##0238131,73,NomVoie7469,,#2575,BERLIN,Germany,Computeringenieur,2010-05-10 10:54:16,2010-05-10 10:54:16
KeyPers_Berlin_1230070,Name70,FistName70,1986-07-16,Osaka,Japan,NS000000070,,+336##0042008,38,NomVoie8170,,#2382,BERLIN,Germany,FÃ¼hrungskraft,2010-01-02 15:16:22,2010-01-02 15:16:22
KeyPers_Berlin_1230071,Name71,FistName71,2017-10-24,Marseille,France,NS000000071,,+336##0403032,91,NomVoie4271,,#0053,BERLIN,Germany,FÃ¼hrungskraft,2010-01-24 23:03:07,2010-01-24 23:03:07
KeyPers_Berlin_1230072,Name72,FistName72,1998-07-27,Paris,France,NS000000072,,+336##0769264,88,NomVoie8272,,#6653,BERLIN,Germany,Ãkonom,2018-02-03 15:34:43,2018-02-03 15:34:43
KeyPers_Berlin_1230073,Name73,FistName73,1992-01-17,Paris,France,NS000000073,,+336##0744073,95,NomVoie9373,,#3807,BERLIN,Germany,Dateningenieur,2007-07-17 08:52:59,2007-07-17 08:52:59
KeyPers_Berlin_1230074,Name74,FistName74,1995-03-12,Sao Paulo,Brazil,NS000000074,,+336##0989122,92,NomVoie2974,,#7516,BERLIN,Germany,Personalleiter,2016-07-25 20:42:28,2016-07-25 20:42:28
KeyPers_Berlin_1230075,Name75,FistName75,1965-10-17,Melbourne,Australia,NS000000075,,+336##0755165,90,NomVoie7475,,#4018,BERLIN,Germany,Dateningenieur,2001-06-16 04:23:26,2001-06-16 04:23:26
KeyPers_Berlin_1230076,Name76,FistName76,2008-05-20,Auckland,New Zealand,NS000000076,,+336##0802563,67,NomVoie9776,,#0822,BERLIN,Germany,FÃ¼hrungskraft,2001-10-18 16:59:07,2001-10-18 16:59:07
KeyPers_Berlin_1230077,Name77,FistName77,1967-01-04,Melbourne,Australia,NS000000077,,+336##0174960,64,NomVoie5777,,#7520,BERLIN,Germany,Dateningenieur,2019-10-21 02:03:38,2019-10-21 02:03:38
KeyPers_Berlin_1230078,Name78,FistName78,1941-11-02,Stockholm,SuÃ¨de,NS000000078,,+336##0795703,52,NomVoie9678,,#5366,BERLIN,Germany,Dateningenieur,2022-04-07 09:44:50,2022-04-07 09:44:50
KeyPers_Berlin_1230079,Name79,FistName79,1953-02-21,Buenos Aires,Argentina,NS000000079,,+336##0525783,78,NomVoie079,,#9115,BERLIN,Germany,Computeringenieur,2017-06-27 15:48:40,2017-06-27 15:48:40
